idOs;placa;chassi;Latitude;Longitude
8625;QXV8G69;94DFCAP15LB251487;-19,9377861;-43,9340868
8627;QXU1D61;9BD358A4NLYK40281;-8,0284663;-34,916868
8629;QXU1D60;9BD358A4NLYK40267;-8,0284733;-34,9169833
8630;QXU7A75;9BD358A4NLYK40409;-8,0285233;-34,916934
8634;QXR5J27;93Y4SRZ85MJ394159;-8,028467;-34,9170261
9469;QWT4085;9BGKL48U0LB156081;-26,9236806;-49,0598235
9480;QWZ4150;9BGKL48U0LB167537;-22,7676676;-43,2871758
9484;QWX6467;9BGKL48U0LB165060;-22,9539681;-43,34822
9508;QXA5414;9BGKL48U0LB168821;-22,8159941;-43,238703
9510;QXA5416;9BGKL48U0LB168836;-23,1765521;-46,8970605
9511;QXA5419;9BGKL48U0LB168866;-22,8394126;-42,0192303
9512;QXR9H30;9BGKL48U0LB196679;-22,4998136;-44,0916201
9515;QXR9H37;9BGKL48U0LB196737;-22,9133821;-43,1703811
9520;QXQ3B80;9BGKL48U0LB194693;-22,93354;-47,0795395
9538;QWW1414;9BGKL48U0LB158575;-16,4404728;-39,0783956
9540;QWX9994;9BGKL48U0LB165469;-16,4402156;-39,0786433
9543;QWT1733;9BGKL48U0LB155018;-19,6600668;-43,9383493
9544;QWT1738;9BGKL48U0LB155704;-19,9434885;-44,0366488
9550;QWX6589;9BGKL48U0LB165167;-3,742275;-38,4770988
9551;QWX9997;9BGKL48U0LB165481;-16,4401911;-39,07864
9554;QWX6530;9BGKL48U0LB165117;-20,2557305;-40,289519
9555;QWW1385;9BGKL48U0LB154808;-19,90477;-43,9658228
9558;QWX6608;9BGKL48U0LB165335;-19,3922503;-40,0672983
9563;QWX6654;9BGKL48U0LB165183;-7,1199658;-34,8268673
9574;QUZ9A91;9BGKL48U0LB153187;-14,81316;-39,0314925
9581;QWT2D08;9BGKL48U0LB149938;-15,8727213;-47,9298115
9584;QXK0777;9BGKD48U0LB183604;-22,817046;-43,2381525
9585;QXK2123;9BGKD48U0LB105065;-22,8170526;-43,23813
9594;QXK0761;9BGKD48U0LB183305;-22,4997473;-44,091563
9603;QWT6643;9BGKL69U0LB155128;-23,1763158;-46,8972786
9622;QXQ2G92;9BGKL69U0LB195903;-22,9539365;-43,3482641
9651;QXQ7A61;9BGKL69U0LB196541;-22,7995933;-43,2933066
9678;QWX9588;9BGKL69U0LB161858;-22,499817;-44,0915125
